ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN06-001 2006 Female A 33.0057707770208 NA 54 0 0 0
CN06-002 2006 Male A 37.6073314548169 NA 54 0 0 0
CN06-003 2006 Female A 30 NA 50 0 0 0
CN06-004 2006 Female A 46.8775517354271 NA 51 0 0 0
CN06-005 2006 Male A 47.1562870235268 NA 52 0 0 0
CN06-006 2006 Male A 37.6804557631538 NA 50 0 0 0
CN06-007 2006 Female A 37.006533190244 NA 56 1 6 7
CN06-007 2007 Female A 47.6785061186331 0.116 62.8333333333333 0 0 0
CN06-010 2006 Male A 51.0086561655318 NA 56.5 0 0 0
CN06-011 2006 Female A 33.1416846293582 NA 52 0 0 0
CN06-012 2006 Female A 39.5086561655318 NA 53 0 0 0
CN06-013 2006 Female A 37.5086561655318 NA 58 0 0 0
CN06-014 2006 Female A 37.5094479719955 NA 51 0 0 0
CN06-015 2006 Male A 43.4181508703283 NA 57 0 0 0
CN06-017 2006 Male A 39.6063308893439 NA 53.5 0 0 0
CN06-018 2006 Male A 36.9808220121884 NA 53 0 0 0
CN06-021 2006 Female A 39.5971407973539 NA 30 0 0 0
CN06-023 2006 Female A 36.092106533466 NA 52 0 0 0
CN06-024 2006 Female A 36.460334826868 NA 56 0 0 0
CN06-025 2006 Female A 40.8591011336081 NA 64 1 4 5
CN06-025 2007 Female A 36.3547906347308 0.124 64.25 0 0 0
CN06-027 2006 Male A 41.3677068405352 NA 60 1 5 6
CN06-027 2007 Male A 44.6148994868733 0.118625 61.25 0 0 0
CN06-028 2006 Female J 19 NA 46 0 0 0
CN06-033 2006 Female A 36.2421310987723 NA 55 0 0 0
CN06-034 2006 Female A 32.8390146709378 NA 54 0 0 0
CN06-035 2006 Female A 43.9814612267816 NA 54 0 0 0
CN06-036 2006 Female A 34.5843326025076 NA 60 1 2 3
CN06-036 2007 Female A 41.6553287173638 0.115 61.25 1 0 1
CN06-036 2008 Female A 38.9425581695959 0.117 60 0 0 0
CN06-037 2006 Male A 43.5162332820212 NA 54 0 0 0
CN06-038 2006 Female A 47.7427950563766 NA 61 0 0 0
CN06-039 2006 Female A 38.6184308076032 NA 64 1 0 1
CN06-039 2007 Female A 41.4277271868996 0.1235 64 0 0 0
CN06-040 2006 Female A 34.1843546265169 NA 56 0 0 0
CN06-041 2006 Female J 20 NA 36 0 0 0
CN06-042 2006 Male A 34.878393545233 NA 54 0 0 0
CN06-043 2006 Male J 16 NA 39 0 0 0
CN06-044 2006 Female A 37.2364332694678 NA 57 0 0 0
CN06-048 2006 Male J 24.8333333333333 NA 34 0 0 0
CN06-049 2006 Female J 22.5 NA 42.5 0 0 0
CN06-050 2006 Female A 41.9001779448017 NA 57.5 1 7 8
CN06-050 2007 Female A 42.2548038694198 0.11875 64 0 0 0
CN06-051 2006 Female A 43.1130263581002 NA 61 0 0 0
CN06-052 2006 Female A 41.8259878203897 NA 54 0 0 0
CN06-053 2006 Female A 36.2183593246907 NA 58.25 0 0 0
CN06-054 2006 Male J 23.5 NA 46 0 0 0
CN06-055 2006 Male A 42.5973800026099 NA 60 1 8 9
CN06-055 2007 Male A 46.3423175040616 0.121 58 0 0 0
CN06-056 2006 Female A 33.310691275181 NA 52 1 1 2
CN06-056 2007 Female A 34.3174811895616 0.1175 59.5 0 0 0
CN06-058 2006 Male A 39.9502119218007 NA 57 0 0 0
CN06-059 2006 Female J 26.6 NA 39 1 5 6
CN06-059 2007 Female A 36.5947088373489 0.113333333333333 55.5555555555556 0 0 0
CN06-060 2006 Male J 26.6666666666667 NA 40 0 0 0
CN06-061 2006 Male A 37.2151553545004 NA 59 0 0 0
CN06-062 2006 Female A 48.2151553545004 NA 58 0 0 0
CN06-063 2006 Male A 47.2151553545004 NA 66 0 0 0
CN06-064 2006 Male A 43.283545255134 NA 55 0 0 0
CN06-065 2006 Male J 25.6 NA 45.5 1 7 8
CN06-065 2007 Male A 39.4907510980091 0.115285714285714 60.1428571428571 1 2 3
CN06-065 2008 Male A 44.5201338465913 0.121 63.875 0 0 0
