"Fitness","Opportunity","Correlation","SE","glm_family"
"FitnessTot","Total",-0.621408141978708,0.277004494792632,"poisson"
"FitnessTot","Mass",-0.186726029371163,0.347335102954495,"poisson"
"FitnessTot","BL",-0.425373159116351,0.34206467130884,"poisson"
"FitnessTot","TL",-0.549067459439374,0.295492158310672,"poisson"
"Phi","Total",-0.465755293624985,0.312864189078165,"binomial"
"Phi","Mass",0.129688476266151,0.350567557527034,"binomial"
"Phi","BL",-0.0915667498508376,0.376376621849095,"binomial"
"Phi","TL",0.10023749181411,0.351772732960291,"binomial"
"RhoZ","Total",-0.624048443329822,0.276261547355406,"poisson"
"RhoZ","Mass",-0.319733105617927,0.334994541218942,"poisson"
"RhoZ","BL",-0.601815128735183,0.301855819609641,"poisson"
"RhoZ","TL",-0.590089031625277,0.285437150427976,"poisson"
